STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
BR,Gopalganj,Barauli,Sidhwalia,26.32055556,84.69777778,Bhojpurwa,"Dug Well",W29538,2018,2.41,2.98,NA,NA
BR,Gopalganj,BAIKUNTHPUR,Sidhwalia,26.30361111,84.69111111,"Deokoli Bazar","Dug Well",W33266,2018,NA,3.35,NA,NA
BR,Gopalganj,Manjha,Manjha,26.37916667,84.44583333,Bangra,"Dug Well",W12527,2018,1.79,3.51,NA,NA
BR,Gopalganj,Bhorey,Bhorey,26.44166667,84.1125,Bhore-1,"Dug Well",W20182,2018,4.96,4.98,NA,NA
BR,Gopalganj,Barauli,Barauli,26.37916667,84.5875,Barauli-1,"Dug Well",W12537,2018,2.35,2.71,NA,NA
BR,Gopalganj,Kuchaikote,Kuchaikot,26.5625,84.32916667,Kuchaikot-2,"Dug Well",W12778,2018,'0.52,2.43,NA,NA
BR,Gopalganj,Gopalganj,Gopalganj,26.46777778,84.44666667,Turkaha-2,"Dug Well",W20183,2018,'0.72,2.02,NA,NA
BR,Gopalganj,Kataiya,Pachdeori,26.53361111,84.12777778,Misirbatha-3,"Dug Well",W12776,2018,NA,4.78,NA,NA
BR,Gopalganj,Hathua,Hatwa,26.36666667,84.32083333,Hathua-1,"Dug Well",W12623,2018,NA,3.29,NA,NA
BR,Gopalganj,Manjha,Manjha,26.38916667,84.4825,Manjhwa-2,"Dug Well",W12781,2018,NA,5.71,NA,NA
BR,Gopalganj,Kuchaikote,Kuchaikot,26.59583333,84.30833333,Jalalpur-2,"Dug Well",W21166,2018,NA,3.21,NA,NA
BR,Gopalganj,Kataiya,Kataiya,26.57083333,84.0875,Katea-2,"Dug Well",W20861,2018,NA,3.79,NA,NA
BR,Gopalganj,Kataiya,Pachdeori,26.53333333,84.12805556,Misirbatha-2,"Dug Well",W12777,2018,5.22,NA,NA,NA
BR,Gopalganj,Manjha,Uchkagaon,26.4,84.39583333,Chanwabe-1,"Dug Well",W12628,2018,'0.87,NA,NA,NA
BR,Gopalganj,Manjha,Manjha,26.38888889,84.48305556,Manjhwa-1,"Dug Well",W12782,2018,1.72,NA,NA,NA
BR,Gopalganj,Bhorey,Phulwaria,26.46611111,84.1725,Rampur2,"Dug Well",W12773,2018,1.54,NA,NA,NA
BR,Gopalganj,Kuchaikote,Kuchaikot,26.59611111,84.30888889,Jalalpur-3,"Dug Well",W12627,2018,3.67,NA,NA,NA
BR,Gopalganj,Manjha,Uchkagaon,26.39805556,84.36888889,Lachchwar,"Dug Well",W29563,2018,3.1,2.97,NA,NA
BR,Gopalganj,Manjha,Manjha,26.345,84.47055556,Nunachapra,"Dug Well",W29545,2018,1.34,2.47,NA,NA
BR,Gopalganj,Manjha,Manjha,26.35,84.48333333,Bishambarpur,"Dug Well",W29549,2018,3.51,3.7,NA,NA
BR,Gopalganj,Manjha,Manjha,26.38055556,84.44722222,"Bangra Deoria","Dug Well",W29560,2018,2.46,2.95,NA,NA
BR,Gopalganj,Manjha,Manjha,26.4,84.51666667,Phulwariya,"Dug Well",W29564,2018,3.04,2.62,NA,NA
BR,Gopalganj,Kataiya,Kuchaikot,26.5425,84.18972222,Jamunaha,"Dug Well",W29607,2018,3.96,4.9,NA,NA
BR,Gopalganj,Kataiya,Kataiya,26.53333333,84.08333333,"Lala Pachmawa","Dug Well",W29604,2018,'0.42,4.17,NA,NA
BR,Gopalganj,Kataiya,Kataiya,26.56666667,84.08333333,Katiya,"Dug Well",W29621,2018,2.2,3.79,NA,NA
BR,Gopalganj,BAIKUNTHPUR,Sidhwalia,26.28694444,84.68638889,Manjwalia,"Dug Well",W33265,2018,3.73,3.44,NA,NA
BR,Gopalganj,Gopalganj,Gopalganj,26.4775,84.43333333,"Yadavpur Sukal","Dug Well",W33492,2018,4.17,4.25,NA,NA
BR,Gopalganj,Hathua,Hatwa,26.36722222,84.32111111,Hathua-2,"Dug Well",W12624,2018,2.54,3.29,NA,NA
BR,Gopalganj,Hathua,Hatwa,26.36722222,84.32111111,Hathua-2,"Dug Well",W12624,2017,1.89,3.7,2.94,4.84
BR,Gopalganj,BAIKUNTHPUR,Sidhwalia,26.30361111,84.69111111,"Deokoli Bazar","Dug Well",W33266,2017,3.3,NA,1.84,NA
BR,Gopalganj,Bhorey,Bhorey,26.44166667,84.1125,Bhore-1,"Dug Well",W20182,2017,4.68,4.7,4.44,5.1
BR,Gopalganj,Barauli,Barauli,26.37916667,84.5875,Barauli-1,"Dug Well",W12537,2017,2.18,2.69,2.6,3.8
BR,Gopalganj,Kuchaikote,Kuchaikot,26.5625,84.32916667,Kuchaikot-2,"Dug Well",W12778,2017,1.28,2.2,1.42,2.9
BR,Gopalganj,Manjha,Uchkagaon,26.4,84.39583333,Chanwabe-1,"Dug Well",W12628,2017,2.21,2.92,'0.5,2.98
BR,Gopalganj,Gopalganj,Gopalganj,26.46777778,84.44666667,Turkaha-2,"Dug Well",W20183,2017,'0.93,1.44,1.35,2.55
BR,Gopalganj,Kataiya,Pachdeori,26.53361111,84.12777778,Misirbatha-3,"Dug Well",W12776,2017,NA,NA,4.2,NA
BR,Gopalganj,Hathua,Hatwa,26.36666667,84.32083333,Hathua-1,"Dug Well",W12623,2017,NA,NA,2.94,NA
BR,Gopalganj,Manjha,Manjha,26.38916667,84.4825,Manjhwa-2,"Dug Well",W12781,2017,NA,NA,1.35,NA
BR,Gopalganj,Kuchaikote,Kuchaikot,26.59583333,84.30833333,Jalalpur-2,"Dug Well",W21166,2017,NA,NA,2.15,NA
BR,Gopalganj,Kataiya,Kataiya,26.57083333,84.0875,Katea-2,"Dug Well",W20861,2017,NA,NA,2.23,NA
BR,Gopalganj,Kataiya,Pachdeori,26.53333333,84.12805556,Misirbatha-2,"Dug Well",W12777,2017,4.01,4.9,NA,6.28
BR,Gopalganj,Manjha,Manjha,26.38888889,84.48305556,Manjhwa-1,"Dug Well",W12782,2017,2.66,3.16,NA,2.65
BR,Gopalganj,Bhorey,Phulwaria,26.46611111,84.1725,Rampur2,"Dug Well",W12773,2017,1.71,1.43,NA,5.3
BR,Gopalganj,Kuchaikote,Kuchaikot,26.59611111,84.30888889,Jalalpur-3,"Dug Well",W12627,2017,3.25,3.12,NA,4.35
BR,Gopalganj,Barauli,Sidhwalia,26.32055556,84.69777778,Bhojpurwa,"Dug Well",W29538,2017,2.37,3.16,1,1
BR,Gopalganj,BAIKUNTHPUR,Sidhwalia,26.28694444,84.68638889,Manjwalia,"Dug Well",W33265,2017,2.43,3.38,1.51,2.98
BR,Gopalganj,Gopalganj,Gopalganj,26.4775,84.43333333,"Yadavpur Sukal","Dug Well",W33492,2017,2.22,4.1,4.54,3
BR,Gopalganj,Manjha,Manjha,26.4,84.51666667,Phulwariya,"Dug Well",W29564,2017,2.23,NA,2.85,4
BR,Gopalganj,Manjha,Uchkagaon,26.39805556,84.36888889,Lachchwar,"Dug Well",W29563,2017,2.48,2.64,2.38,3.52
BR,Gopalganj,Manjha,Manjha,26.345,84.47055556,Nunachapra,"Dug Well",W29545,2017,1.19,3.1,3.14,6.3
BR,Gopalganj,Manjha,Manjha,26.35,84.48333333,Bishambarpur,"Dug Well",W29549,2017,2.47,3.9,3.2,4.3
BR,Gopalganj,Manjha,Manjha,26.38055556,84.44722222,"Bangra Deoria","Dug Well",W29560,2017,2.01,3.5,3.25,4.17
BR,Gopalganj,Kataiya,Kuchaikot,26.5425,84.18972222,Jamunaha,"Dug Well",W29607,2017,4.28,5.9,1.95,3.98
BR,Gopalganj,Kataiya,Kataiya,26.53333333,84.08333333,"Lala Pachmawa","Dug Well",W29604,2017,2.68,4.45,1.89,4
BR,Gopalganj,Kataiya,Kataiya,26.56666667,84.08333333,Katiya,"Dug Well",W29621,2017,2.38,3.25,2.23,4.5
BR,Gopalganj,Manjha,Manjha,26.37916667,84.44583333,Bangra,"Dug Well",W12527,2017,2.35,3.8,2.45,3.6
BR,Gopalganj,Bhorey,Phulwaria,26.46611111,84.1725,Rampur2,"Dug Well",W12773,2016,1.76,NA,3.2,3.72
BR,Gopalganj,Gopalganj,Gopalganj,26.4775,84.43333333,"Yadavpur Sukal","Dug Well",W33492,2016,NA,NA,3.8,NA
BR,Gopalganj,Kataiya,Pachdeori,26.53333333,84.12805556,Misirbatha-2,"Dug Well",W12777,2016,5.44,NA,4.44,6.28
BR,Gopalganj,Kuchaikote,Kuchaikot,26.5625,84.32916667,Kuchaikot-2,"Dug Well",W12778,2016,2.1,NA,1.56,2.48
BR,Gopalganj,Manjha,Manjha,26.38916667,84.4825,Manjhwa-2,"Dug Well",W12781,2016,2.86,NA,NA,NA
BR,Gopalganj,Hathua,Hatwa,26.36722222,84.32111111,Hathua-2,"Dug Well",W12624,2016,4.03,NA,3.27,4.87
BR,Gopalganj,Manjha,Manjha,26.38888889,84.48305556,Manjhwa-1,"Dug Well",W12782,2016,NA,NA,2.47,4.01
BR,Gopalganj,Kuchaikote,Kuchaikot,26.59611111,84.30888889,Jalalpur-3,"Dug Well",W12627,2016,NA,NA,3.2,NA
BR,Gopalganj,Manjha,Uchkagaon,26.4,84.39583333,Chanwabe-1,"Dug Well",W12628,2016,6.32,NA,4.1,6.32
BR,Gopalganj,Manjha,Manjha,26.37916667,84.44583333,Bangra,"Dug Well",W12527,2016,2.11,NA,3.6,4.36
BR,Gopalganj,Barauli,Barauli,26.37916667,84.5875,Barauli-1,"Dug Well",W12537,2016,3.08,NA,2.5,3.5
BR,Gopalganj,Bhorey,Bhorey,26.44166667,84.1125,Bhore-1,"Dug Well",W20182,2016,5.1,NA,4.12,4.7
BR,Gopalganj,Gopalganj,Gopalganj,26.46777778,84.44666667,Turkaha-2,"Dug Well",W20183,2016,'0.73,NA,1.3,3
BR,Gopalganj,Kataiya,Kataiya,26.57083333,84.0875,Katea-2,"Dug Well",W20861,2016,3.09,NA,NA,5.7
