STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
MP,Jabalpur,Jabalpur,Jabalpur,22.98916667,79.87388889,Bargi1,"Dug Well",W00250,2018,3.44,5.84,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.20305556,79.9875,"Adhartal Naka","Dug Well",W28280,2018,8.95,NA,NA,NA
MP,Jabalpur,Panagar,Panagar,23.31444444,80.01,Rehepura,"Dug Well",W00863,2018,'0.93,11.9,NA,NA
MP,Jabalpur,Patan,Patan,23.28888889,79.70166667,Patan,"Bore Well",W00866,2018,6.13,7.65,NA,NA
MP,Jabalpur,Sihora,Sihora,23.48166667,80.10388889,Sihora,"Bore Well",W00871,2018,7.56,89.5,NA,NA
MP,Jabalpur,Sihora,Sihora,23.48333333,80.10833333,Sihora1,"Dug Well",W00872,2018,'0.27,16.8,NA,NA
MP,Jabalpur,Sihora,Sihora,23.39916667,80.06472222,Kachupura,"Dug Well",W00869,2018,2.43,6.88,NA,NA
MP,Jabalpur,Majhauli,Majhauli,23.49861111,79.92666667,Majholi,"Dug Well",W00862,2018,11.77,16.92,NA,NA
MP,Jabalpur,Shahpur,Shahpur,23.13833333,79.66527778,Shahpura1,"Dug Well",W00868,2018,'0.79,4.44,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.16194444,79.95361111,Jabalpur(D),"Bore Well",W00252,2018,12.25,14.47,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.19777778,79.96305556,Jabalpur,"Dug Well",W00251,2018,6.74,9.77,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.2025,80.0725,Umariya,"Dug Well",W00858,2018,2.44,5.7,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.20722222,80.15833333,Padaria,"Dug Well",W00856,2018,'0.9,6.14,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.07833333,79.9125,Manegaon1,"Dug Well",W00855,2018,'0.49,3.54,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.09611111,80.05472222,Barela,"Dug Well",W00248,2018,'0.36,3.12,NA,NA
MP,Jabalpur,Kundam,Kundam,23.21888889,80.34638889,Kundam,"Bore Well",W00859,2018,8.43,8.23,NA,NA
MP,Jabalpur,Kundam,Kundam,23.22916667,80.24944444,Bishanpura,"Dug Well",W00254,2018,1.46,5.67,NA,NA
MP,Jabalpur,Shahpur,Shahpur,23.14416667,79.80277778,"Bheraghat New","Dug Well",W28216,2018,6.8,7.43,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.10694444,79.99055556,Saliwada,"Dug Well",W28193,2018,1.75,7.62,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.16194444,79.95361111,Jabalpur(S),"Bore Well",W28235,2018,15.28,13.82,NA,NA
MP,Jabalpur,Kundam,Kundam,23.21888889,80.34638889,Kundam,"Dug Well",W28296,2018,4.8,7.53,NA,NA
MP,Jabalpur,Kundam,Kundam,23.28222222,80.36916667,Ghughara,"Dug Well",W28347,2018,2.56,6.17,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.15277778,79.88555556,"Jain Dharamshala","Dug Well",W28220,2018,'0.92,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.15277778,79.9275,Gorakhpur,"Dug Well",W28221,2018,'0.72,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.15472222,79.90388889,"Bedi Nagar","Dug Well",W28224,2018,2.82,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.15527778,79.94861111,"Sadar Bazar","Dug Well",W28225,2018,3.31,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.15583333,79.89666667,Deotal,"Dug Well",W28226,2018,1.12,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.15833333,79.89222222,"Panda Ki Madhia","Dug Well",W28227,2018,2.46,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.15833333,79.91583333,"Madan Mahal","Dug Well",W28228,2018,1.13,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.15861111,79.94861111,Panchpedi,"Dug Well",W28229,2018,1.17,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.16583333,79.93277778,"Nagar Nigam Complex","Dug Well",W28240,2018,1.54,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.16611111,79.94722222,"Railway Station","Dug Well",W28241,2018,5.13,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.17138889,79.93055556,"Datta Mandir","Dug Well",W28245,2018,1.97,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.17611111,79.96,"Kanch Ghar","Dug Well",W28250,2018,5.51,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.18055556,79.94166667,"Raddi Chowki","Dug Well",W28253,2018,2.44,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.18083333,79.92555556,Cherital,"Dug Well",W28254,2018,1.56,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.1875,79.92166667,"Bus Stand","Dug Well",W28261,2018,3.12,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.19027778,79.98527778,Gokalpur,"Dug Well",W28265,2018,1.01,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.19583333,79.99861111,Ranjhi,"Dug Well",W28269,2018,3.21,NA,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,22.98944444,79.87416667,Bargi,"Bore Well",W00249,2018,9.05,7.78,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,22.98916667,79.87388889,Bargi1,"Dug Well",W00250,2017,3.31,4.22,4.38,6.67
MP,Jabalpur,Kundam,Kundam,23.28222222,80.36916667,Ghughara,"Dug Well",W28347,2017,5.13,4.27,6.12,10
MP,Jabalpur,Panagar,Panagar,23.31444444,80.01,Rehepura,"Dug Well",W00863,2017,1.12,4.27,2.14,5.99
MP,Jabalpur,Patan,Patan,23.28888889,79.70166667,Patan,"Bore Well",W00866,2017,5.83,7.54,6.22,8.12
MP,Jabalpur,Sihora,Sihora,23.48166667,80.10388889,Sihora,"Bore Well",W00871,2017,9.43,9.75,11.75,19.13
MP,Jabalpur,Sihora,Sihora,23.48333333,80.10833333,Sihora1,"Dug Well",W00872,2017,15.13,14.47,16.8,14.69
MP,Jabalpur,Sihora,Sihora,23.39916667,80.06472222,Kachupura,"Dug Well",W00869,2017,2.85,4.88,3.37,7.62
MP,Jabalpur,Majhauli,Majhauli,23.49861111,79.92666667,Majholi,"Dug Well",W00862,2017,13.6,13.82,14.35,17.32
MP,Jabalpur,Shahpur,Shahpur,23.13833333,79.66527778,Shahpura1,"Dug Well",W00868,2017,2.75,5.37,3.32,6.3
MP,Jabalpur,Jabalpur,Jabalpur,23.16194444,79.95361111,Jabalpur(D),"Bore Well",W00252,2017,12.71,12.27,13.28,19.07
MP,Jabalpur,Jabalpur,Jabalpur,23.19777778,79.96305556,Jabalpur,"Dug Well",W00251,2017,6.79,6.83,9.77,6.79
MP,Jabalpur,Jabalpur,Jabalpur,23.2025,80.0725,Umariya,"Dug Well",W00858,2017,3.87,4.93,4.67,6.25
MP,Jabalpur,Jabalpur,Jabalpur,23.20722222,80.15833333,Padaria,"Dug Well",W00856,2017,3.12,5.09,4.54,6.15
MP,Jabalpur,Jabalpur,Jabalpur,23.07833333,79.9125,Manegaon1,"Dug Well",W00855,2017,'0.9,3.54,3.07,4.59
MP,Jabalpur,Jabalpur,Jabalpur,23.09611111,80.05472222,Barela,"Dug Well",W00248,2017,2.05,3.32,2.36,3.24
MP,Jabalpur,Kundam,Kundam,23.21888889,80.34638889,Kundam,"Bore Well",W00859,2017,8.24,8.92,7.32,10.65
MP,Jabalpur,Kundam,Kundam,23.22916667,80.24944444,Bishanpura,"Dug Well",W00254,2017,2.6,5,4.53,10.15
MP,Jabalpur,Shahpur,Shahpur,23.14416667,79.80277778,"Bheraghat New","Dug Well",W28216,2017,6.77,5.72,6.92,6.75
MP,Jabalpur,Jabalpur,Jabalpur,23.10694444,79.99055556,Saliwada,"Dug Well",W28193,2017,5.67,7.45,6.57,7.92
MP,Jabalpur,Jabalpur,Jabalpur,23.16194444,79.95361111,Jabalpur(S),"Bore Well",W28235,2017,12.6,10.32,12.84,15.4
MP,Jabalpur,Kundam,Kundam,23.21888889,80.34638889,Kundam,"Dug Well",W28296,2017,6.47,7.08,7.02,9.15
MP,Jabalpur,Jabalpur,Jabalpur,22.98944444,79.87416667,Bargi,"Bore Well",W00249,2017,9.01,9.67,7.19,11.07
MP,Jabalpur,Jabalpur,Jabalpur,23.09611111,80.05472222,Barela,"Dug Well",W00248,2016,1.48,2.77,2.89,3.12
MP,Jabalpur,Jabalpur,Jabalpur,23.16194444,79.95361111,Jabalpur(S),"Bore Well",W28235,2016,10.26,11.96,10.2,13.45
MP,Jabalpur,Jabalpur,Jabalpur,22.98916667,79.87388889,Bargi1,"Dug Well",W00250,2016,'0.82,4.48,2.96,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.19777778,79.96305556,Jabalpur,"Dug Well",W00251,2016,2.46,9.77,6.79,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.16194444,79.95361111,Jabalpur(D),"Bore Well",W00252,2016,9.47,12.27,10.39,NA
MP,Jabalpur,Kundam,Kundam,23.22916667,80.24944444,Bishanpura,"Dug Well",W00254,2016,1.83,4.55,3.86,NA
MP,Jabalpur,Patan,Patan,23.40361111,79.81027778,Hiran,"Bore Well",W00255,2016,NA,22.75,NA,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.07833333,79.9125,Manegaon1,"Dug Well",W00855,2016,'0.68,3.34,3.14,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.20722222,80.15833333,Padaria,"Dug Well",W00856,2016,1.8,7.82,4.44,NA
MP,Jabalpur,Jabalpur,Jabalpur,23.2025,80.0725,Umariya,"Dug Well",W00858,2016,NA,5.7,4.56,NA
MP,Jabalpur,Kundam,Kundam,23.21888889,80.34638889,Kundam,"Bore Well",W00859,2016,5.04,8.42,6.77,NA
MP,Jabalpur,Majhauli,Majhauli,23.49861111,79.92666667,Majholi,"Dug Well",W00862,2016,6.56,13.97,11.75,NA
MP,Jabalpur,Panagar,Panagar,23.31444444,80.01,Rehepura,"Dug Well",W00863,2016,'0.95,4.14,2.54,NA
MP,Jabalpur,Patan,Patan,23.28888889,79.70166667,Patan,"Bore Well",W00866,2016,3.68,7.32,6.27,NA
MP,Jabalpur,Shahpur,Shahpur,23.13833333,79.66527778,Shahpura1,"Dug Well",W00868,2016,1.32,6.95,3.64,NA
MP,Jabalpur,Sihora,Sihora,23.39916667,80.06472222,Kachupura,"Dug Well",W00869,2016,1.82,5.49,3.67,NA
MP,Jabalpur,Sihora,Sihora,23.48166667,80.10388889,Sihora,"Bore Well",W00871,2016,3.58,10.47,7.96,NA
MP,Jabalpur,Sihora,Sihora,23.48333333,80.10833333,Sihora1,"Dug Well",W00872,2016,2.48,16.8,13.35,NA
MP,Jabalpur,Kundam,Kundam,23.21888889,80.34638889,Kundam,"Dug Well",W28296,2016,3.59,7.28,5.63,8.08
MP,Jabalpur,Kundam,Kundam,23.28222222,80.36916667,Ghughara,"Dug Well",W28347,2016,2.64,3.72,3.12,5.9
