STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
TN,Tiruppur,Udumalaipettai,Udumalaipettai,10.50833333,77.18333333,Dhalli,"Bore Well",W01872,2018,10.76,8.46,NA,NA
TN,Tiruppur,Kangeyam,Kangeyam,11.00277778,77.5625,Kangayam-2,"Dug Well",W02095,2018,NA,10.34,8.1,NA
TN,Tiruppur,Udumalaipettai,Udumalaipettai,10.58333333,77.24722222,Udumalpet-1,"Dug Well",W01874,2018,2.38,2.18,NA,NA
TN,Tiruppur,Udumalaipettai,Madathukulam,10.48333333,77.36666667,Kumaralingam1,"Bore Well",W01870,2018,1.8,2.26,NA,NA
TN,Tiruppur,Udumalaipettai,Madathukulam,10.49166667,77.35,Kumaralingam,"Dug Well",W01869,2018,1.07,'0.9,NA,NA
TN,Tiruppur,Udumalaipettai,Madathukulam,10.60833333,77.38333333,Kaniyur,"Dug Well",W01867,2018,3.55,5.39,NA,NA
TN,Tiruppur,Udumalaipettai,Madathukulam,10.62361111,77.375,Karattoluvu,"Bore Well",W01868,2018,'0.6,1.56,NA,NA
TN,Tiruppur,Udumalaipettai,Gudimangalam,10.75833333,77.27083333,Periyapatti,"Dug Well",W01864,2018,10.62,17.5,NA,NA
TN,Tiruppur,Palladam,Pongalur,10.91527778,77.26111111,Kettanur,"Bore Well",W01827,2018,4.59,8.34,NA,NA
TN,Tiruppur,Palladam,Pongalur,11.08055556,77.45277778,Nachipalayam1,"Bore Well",W01829,2018,8.3,7.22,NA,NA
TN,Tiruppur,Palladam,Pongalur,11.08333333,77.44583333,Nachipalayam,"Dug Well",W01828,2018,7.6,7.25,NA,NA
TN,Tiruppur,Kangeyam,Kangeyam,11.0875,77.66111111,Nattakadaiyur,"Bore Well",W02096,2018,9.1,7.21,NA,NA
TN,Tiruppur,Avanashi,Avanashi,11.29583333,77.13194444,Pongalur-1,"Dug Well",W01795,2018,7.6,8.5,NA,NA
TN,Tiruppur,Avanashi,Avanashi,11.24583333,77.2125,Karamadai,"Dug Well",W01792,2018,2.19,2.17,NA,NA
TN,Tiruppur,Palladam,Palladam,10.975,77.26666667,Avinashipalayam,"Dug Well",W01823,2018,NA,14.65,NA,NA
TN,Tiruppur,Palladam,Palladam,10.99166667,77.28055556,Palladam-2,"Bore Well",W01826,2018,NA,7.37,NA,NA
TN,Tiruppur,Palladam,Palladam,10.99583333,77.27777778,Palladam-1,"Dug Well",W01825,2018,NA,11.25,NA,NA
TN,Tiruppur,Kangeyam,Vellakoil,10.94444444,77.71527778,Vellakoil,"Dug Well",W02101,2018,NA,3.5,NA,NA
TN,Tiruppur,Palladam,Palladam,11.01666667,77.18472222,Kaltanpet,"Dug Well",W01824,2018,NA,9.95,NA,NA
