STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
TN,Ariyalur,Ariyalur,Thirumanur,11.03333333,79.05,Kilpazhavur,"Dug Well",W02310,2018,NA,1.84,1.88,NA
TN,Ariyalur,Ariyalur,Ariyalur,11.02388889,79.1125,V.Ramanapuram,"Tube Well",W02306,2018,NA,NA,23.42,NA
TN,Ariyalur,Ariyalur,Sendurai,11.41,79.33277778,Periyathukurichi,"Dug Well",W21405,2018,NA,1.73,NA,NA
TN,Ariyalur,Udayarpalayam,Jayankondam,11.21111111,79.39583333,G.K.Cholapuram,"Dug Well",W02323,2018,NA,1.61,20.67,NA
TN,Ariyalur,Ariyalur,Sendurai,11.41,79.33277778,Periyathukurichi,"Dug Well",W21405,2017,3.97,1.7,4.33,3.4
TN,Ariyalur,Udayarpalayam,Jayankondam,11.21111111,79.39583333,G.K.Cholapuram,"Dug Well",W02323,2017,10.91,6.33,3.19,10.2
TN,Ariyalur,Ariyalur,Thirumanur,11.03333333,79.05,Kilpazhavur,"Dug Well",W02310,2017,3.26,5.15,2.01,5.98
TN,Ariyalur,Ariyalur,Thirumanur,10.9375,79.10416667,Tirumanur,"Dug Well",W02311,2017,8.59,8.59,NA,8.5
TN,Ariyalur,Udayarpalayam,Jayankondam,11.26944444,79.37,Kalattur,"Dug Well",W02325,2016,NA,NA,2.15,NA
TN,Ariyalur,Ariyalur,Sendurai,11.41,79.33277778,Periyathukurichi,"Dug Well",W21405,2016,4.02,NA,3.47,4.33
TN,Ariyalur,Ariyalur,Thirumanur,10.9375,79.10416667,Tirumanur,"Dug Well",W02311,2016,6.3,NA,6.3,NA
TN,Ariyalur,Ariyalur,Thirumanur,11.03333333,79.05,Kilpazhavur,"Dug Well",W02310,2016,3.96,NA,NA,1.98
TN,Ariyalur,Udayarpalayam,Jayankondam,11.21111111,79.39583333,G.K.Cholapuram,"Dug Well",W02323,2016,2.69,NA,5.55,3.19
TN,Ariyalur,Ariyalur,Ariyalur,11.02388889,79.1125,V.Ramanapuram,"Tube Well",W02306,2015,NA,NA,NA,28.5
TN,Ariyalur,Ariyalur,Sendurai,11.41,79.33277778,Periyathukurichi,"Dug Well",W21405,2015,2.36,1.83,2.6,2.6
TN,Ariyalur,Udayarpalayam,Jayankondam,11.21111111,79.39583333,G.K.Cholapuram,"Dug Well",W02323,2015,7.34,1.41,2.9,3.81
TN,Ariyalur,Ariyalur,Thirumanur,10.9375,79.10416667,Tirumanur,"Dug Well",W02311,2015,NA,5.5,NA,NA
TN,Ariyalur,Ariyalur,Thirumanur,11.03333333,79.05,Kilpazhavur,"Dug Well",W02310,2015,6.21,5.03,'0.2,5.68
TN,Ariyalur,Ariyalur,Ariyalur,11.02388889,79.1125,V.Ramanapuram,"Tube Well",W02306,2014,NA,16.38,NA,NA
TN,Ariyalur,Ariyalur,Sendurai,11.41,79.33277778,Periyathukurichi,"Dug Well",W21405,2014,3.1,NA,NA,2.98
TN,Ariyalur,Ariyalur,Thirumanur,11.03333333,79.05,Kilpazhavur,"Dug Well",W02310,2014,NA,1.67,NA,4.45
TN,Ariyalur,Ariyalur,Thirumanur,10.9375,79.10416667,Tirumanur,"Dug Well",W02311,2014,6.3,NA,NA,NA
